course_id,course_name,course_prerequisites,course_about
C_course-v1:TsinghuaX+00612643X+sp,the rise and fall of the tang dynasty (autonomous mode),no prerequisites,"
zizhi tongjian is a famous chronological history book compiled by sima guang of the northern song dynasty since its publication it has not only been valued by scholars of all ages for its irreplaceable historical material value but also has been valued by future generations for its fundamental motivation of educating people and its excellent historical knowledge praised among the books 294 volumes and 300 more than 10000 words the history of the sui tang and five dynasties spans nearly 400 years of vicissitudes occupying 118 volumes alone the value of replaceable historical materials has become the most important content of the entire tongjian the rise and decline of the tang dynasty an introduction to zi zhi tong jian continues the widely acclaimed  zi zhi tong jian  since its launch in 2014 introduction course the lecturer is professor zhang guogang who has devoted himself to studying zi zhi tong jian for decades by carefully selecting the words and deeds of classic characters and historical scenes he analyzed the details and details summarized the cultural essence with modern thinking and vividly the language elucidates historical wisdom with particular emphasis on its practical significance of self cultivation family management and country governance through course study students can not only grasp the basic historical development of the sui tang and five dynasties but also appreciate the more vivid and realistic customs of the sui and tang dynasties in addition to novels film and television interpretations they can also go into the original records feel the unique charm of chinas great historical works and understand how to learn from traditional the basic method for culture to absorb nutrition from reality opens the way for lifelong learning of chinese classics
"
C_course-v1:FudanX+SOSC120007+sp,monetary finance (autonomous mode),"macroeconomics, microeconomics","
1 teaching objectives


through the study of this course students can understand the role and operating mechanism of financial markets financial institutions and central banks in the modern economy from a macro perspective decipher the secrets of currency understand what currency is how it is generated and expanded and what impact it has and understand openness relevant theories and empirical evidence on the central banks implementation of monetary policy and the relationship between currency and economy under economic conditions


2 course content


this course mainly consists of four parts the first part is an introduction which mainly introduces what money is and an overview of the financial system the second part is financial markets focusing on analyzing the behavioral characteristics and determination of prices in financial markets interest rates the third part is financial institutions  focusing on analyzing the operations and industry characteristics of commercial banks the most important financial institution in the process of money creation the fourth part is the core of this course namely money supply money demand transmission of monetary policy monetary policy strategies and currency policies and rules etc
"
C_course-v1:TsinghuaX+00612642X+sp,"introduction to ""zi zhi tong jian"" (independent mode)",no prerequisites,zizhi tongjian is a famous chronicle style history book compiled by sima guang of the northern song dynasty and the first work of the tongjian style category of traditional history books the book takes politics and military as the main narrative line starting from 403 bc and ending in 959 ad with 294 volumes and more than 3 million words it systematically presents the magnificent historical picture of china over more than 1300 years since the publication of this book it has not only been valued by scholars of all ages for its irreplaceable value as historical data but has also been praised by later generations for its fundamental motivation and excellent historical knowledge for educating people summarizing the rise and fall of chaos in the past and presenting a story that transcends time and space of great vitality however zizhi tongjian is vast in length and complex in content and due to the characteristics of the historical documents themselves it is difficult for young students who are not majoring in literature and history to read through and understand its gist as a general humanities course the introduction to zi zhi tong jian course aims to eliminate professional barriers and guide students to directly experience the charm of this great chinese historical work the lecturer of the course professor zhang guogang has devoted himself to studying zi zhi tong jian for decades by carefully selecting the words and deeds of classic characters and historical scenes and analyzing them carefully he summarizes the essence of culture with modern thinking and elucidates historical wisdom with vivid language especially focusing on among them the practical significance of self cultivation family management and country governance through the course introduction to zi zhi tong jian students can not only have a more comprehensive grasp of the basic context of the development and evolution of chinese history from the warring states period to the five dynasties but also understand the basic principles of how to draw realistic nutrition from traditional culture method to pave the way for lifelong learning of chinese classics 
C_course-v1:TsinghuaX+30700313X+sp,introduction to psychology (autonomous mode),no prerequisites,"
today with the rapid development of peoples material life it is particularly important to pay attention to psychology in american universities psychology is one of the most popular subjects with the largest student population this course is divided into 13 chapters covering introduction consciousness feeling perception learning memory thinking emotion evolution motivation personality society and happiness issues in each chapter empirical research in psychology is used as an example classical theoretical perspectives are used as the guide and positive psychological research is used as the direction allowing students to master the basic content and cutting edge trends of psychology and understand psychological thinking methods eliminate doubts and misunderstandings about psychology and master basic psychological research methods
"
C_course-v1:TsinghuaX+30700313X+2019_T1,introduction to psychology (spring 2019),no prerequisites,"
today with the rapid development of peoples material life it is particularly important to pay attention to psychology in american universities psychology is one of the most popular subjects with the largest student population this course is divided into 13 chapters covering introduction consciousness feeling perception learning memory thinking emotion evolution motivation personality society and happiness issues in each chapter empirical research in psychology is used as an example classical theoretical perspectives are used as the guide and positive psychological research is used as the direction allowing students to master the basic content and cutting edge trends of psychology and understand psychological thinking methods eliminate doubts and misunderstandings about psychology and master basic psychological research methods
"
C_course-v1:SCUEC+0171229001+sp,"hello, psychology (autonomous mode)",no prerequisites,"
selecting core knowledge points the main content of general psychology is explained from four aspects history methods research topics and applications


help students grasp the history of the development of psychology and construct a psychological knowledge context from a longitudinal perspective


starting from research methods let students feel the scientific charm of psychology


connect knowledge points from two aspects cognitive and social development


the content of applied psychology knowledge is designed from the perspective of understanding oneself as an individual


the condensation of course content can allow beginners in psychology to enter the palace of psychology and experience the excitement of psychology
"
C_course-v1:TsinghuaX+30670043X+sp,principles of communication (autonomous mode),no prerequisites,"
communication science is a science that explores and reveals the nature and laws of human communication it is also a knowledge system developed by communication researchers through systematic analysis and organic integration of human communication phenomena and communication research results in recent decades


it includes the description of communication activities the analysis of communication relationships the agreement on communication behavior and the discussion of communication problems


compared with sociology psychology political science etc communication science is an emerging independent discipline with certain applications located at the intersection of many disciplines
"
C_course-v1:TsinghuaX+30670043X+2019_T1,principles of communication (spring 2019),no prerequisites,"
communication science is a science that explores and reveals the nature and laws of human communication it is also a knowledge system developed by communication researchers through systematic analysis and organic integration of human communication phenomena and communication research results in recent decades


it includes the description of communication activities the analysis of communication relationships the agreement on communication behavior and the discussion of communication problems


compared with sociology psychology political science etc communication science is an emerging independent discipline with certain applications located at the intersection of many disciplines
"
C_course-v1:NJU+2018032001X+sp,psychology and life (autonomous mode),no prerequisites,"
is psychology mysterious you will find that wherever there are people there is psychology


is psychology profound you will find that everyone seems to be a popular psychologist and everyone can say something about psychology 


indeed psychology is everywhere in our lives but this course will tell you that most of the psychology we often talk about is wrong and the remaining small part is also incomplete  


so if you are willing from now on you can go with me to see what interesting psychological phenomena there are in your life so that you can see a colorful life world for yourself


i will use the most living language to teach you the most professional psychological knowledge and work with you to explore the meaning of colors discover the secrets of memory uncover the veil of personality outline the outline of emotions and explain human behavior  

let us use our unique eyes to see a completely different world of life"
C_course-v1:Tsinghua+20150001+sp,how to write a good scientific research paper (independent mode),no prerequisites,are you worried about publishing a paper do you know where to start writing a scientific research paper how to correctly organize the article structure from the article title keywords to the conclusion and literature what do journal editors value how do you get attention after your article is published and how do you promote your article what are the basic principles related to academic publishing ethics what are the minefields in academic publishingthis course invites famous teachers from tsinghua university and publishers from elsevier to tell you about the principles content structure techniques and academic ethics of paper writing and invites outstanding students share their valuable experience in publishing papers to help you write and publish academic papers more effectively 
C_course-v1:FUDANx+ECON1300812+sp,financial engineering (independent mode),"first, i have taken basic finance courses such as investment and financial markets, and initially mastered the modern financial knowledge of asset pricing and asset portfolio theory. i have relevant knowledge of mathematical statistics. mastering the knowledge of stochastic processes is helpful for the study of the course. i have experience in computer programming. basic knowledge.","
financial engineering is mainly a highly applied financial discipline that emerged and developed with the expansion of investment banking and capital markets through the study of this course students can master the basic principles of derivative financial instruments such as forwards futures options and swaps master the basic principles of pricing of derivative financial instruments master the basic principles of using derivative financial instruments for hedging master basic theories and techniques of financial engineering and initially learn to use engineering technology methods such as mathematical modeling numerical calculations network diagrams simulation simulations etc to design develop and implement new financial products implement financial risk management strategies etc and creatively solve financial problems problems cultivate students financial engineering thinking through lectures assignments case analyses etc
"
C_course-v1:TsinghuaX+70612463X+sp,social statistical analysis based on r language (autonomous mode),no prerequisites,statistics is the lingua franca of modern science and an indispensable tool for modern research the combination of social science and classical statistical principles has formed a methodological system that uses statistical measurement systems to study human behavior in social environments this system is not only limited to esoteric numbers tables and formulas but also a logical way of thinking it provides researchers with not only the basic skills of collecting analyzing and understanding data but also a science from evidence to conclusion inference process statistical analysis can be divided into two parts exploratory data analysis and inferential statistical methods probability theory is the bridge connecting the two this course will use the powerful functions brought by the open source statistical software r language to introduce the necessary skills for exploring data next we will explain the core theories of statistics such as sampling distribution estimation and hypothesis testing finally we will discuss the application of advanced statistical methods such as multiple regression logistic regression and multilevel models in social sciences based on research examples from sociology psychology education and other disciplines even if you have had difficulty learning mathematics in the past it does not mean that you will be at a disadvantage in this class we believe that the training of logical thinking is more important than calculation ability by the end of the course you will have a better sense of how to extract effective information from complicated data statistical analysis in other peoples research will no longer be a restricted area for you to read you will learn how to be a consumer of statistical principles and apply statistical thinking to apply it to your own research 
