course_id,course_name,course_prerequisites,course_about
C_course-v1:NCTU+wghx+2017_T1,world microscopic chemistry autonomous mode,high school chemistry familiar trigonometric functions graphs exponential logarithmic functions graphs calculus,chemistry science based experiments principles revised emergence new experimental techniques new physical theories interesting old principles chemistry completely overthrown establishment new theories new theories often need help old principles allow people see complete microscopic world course explain source chemical activity atoms molecules total number electrons geometric space distribution motion patterns explain principles optical electromagnetic phenomena microscopic molecular world
C_course-v1:TsinghuaX+64100033X+SP,big data system foundation autonomous mode,knowledge programming languages java c database principles operating systems,course understand tool platform development environment basic principles big data management become familiar characteristics typical big data tools platforms master basic development methods big data processing basis introducing use typical system tools analyzing implementation principles design theories enhances students application development capabilities big data tools platforms also creates foundation students interested continuing study big data professional courses depth specific course content includes introduction cloud computing file storage computing framework memory computing nosql stream data processing etc
C_course-v1:MITx+6_00_1x+sp,introduction computer science python programming independent mode,advanced high school algebra knowledge reasonable mathematical ability,course first half two part course introduction computer science python programming introduction computational thinking data science two part course designed help people never exposed computer science programming learn think computationally write programs solve problems students take two part course use foundation advanced computer science courses take first last computer science course courses may formal computer science courses many students focus breadth depth knowledge goal help students learn subject nutshell idea need consider use computational methods accomplish certain goals later careers words intensive computing course challenging rigorous courses require students spend lot time energy learning make computers work way want introduction computer science introduction python programming includes informal introduction computing concepts python programming language simple algorithms testing debugging algorithmic complexity simple algorithms data structures
C_course-v1:Stanford+WomensHealth+sp,international womens health human rights autonomous model,prerequisites,course provides overview womens health rights infancy childhood adolescence childbearing old age take account economic social political human rights factors well challenges women face maintain health control lives face social pressures barriers focus critical content content matter life death woman depending whether exercise human rights key elements include discrimination result born female poverty unequal access education access food remuneration work health care various forms violence topics covered include son preference education hivaids reproductive health domestic violence war violence refugee settings womens work sex trade ageing massive open online courses moocs focus specifically creating international network relevant students engage students interactive discussions participate collaborative exercises share experiences also engage students communities deepen understanding learn connect academic ideas real life concrete practices
C_course-v1:CSU+2018020201X+sp,topic english independent mode,prerequisites,course useful step college students improve international vision cross cultural communication skills course divided modules according themes discuss learn english course content revolves around major themes college life fast food world healthy habits personal heroes bilingual education love marriage money issues space mysteries immigration issues disaster response scholarly campus global lingua franca competitive spirit extreme enjoyment genes personality diverse communication learning topic includes modules lexical chunks sentence patterns discourse logic subject matter inquiry language knowledge teaching thinking logic training improvement ideological content linked together promoted step step
C_course-v1:HUBU+2017022703X+sp,english voice autonomous mode,certain level english required,main contents course include english vowels consonants voice changes stress intonation covering main english phonetic knowledge course taught school weeks taught first year undergraduate students majoring english number students class one semester study students initially master basic knowledge english pronunciation improve pronunciation level certain extent however english pronunciation learning long term process learning effect course closely related time energy invested students
C_course-v1:TsinghuaX+10610193X+sp,outline modern contemporary chinese history independent mode,prerequisites,course based textbook outline modern contemporary chinese history textbook ideological political theory courses colleges universities teaches chinese people since resist foreign aggression explore way country strive national independence realize peoples liberation establish new china build new country great process socialist modernization course mainly based online teaching combined large number video text materials supplemented group discussions forms strives focus research frontier integrate contemporary scientific academic aspects cultivate students historical awareness awareness times helping students gain deeper understanding national history national conditions deeper understanding history people choose marxism communist party china socialist road reform opening
C_course-v1:TsinghuaX+00690863X+sp,appreciation tang song poetry independent mode,prerequisites,course one tang song poetry appreciation national quality courses national resource sharing courses hosted professor wang bugao course starts definition origin ci systematically teaches representative writers representative works important schools ci tang song dynasties focuses works also covers writers history ci tang song dynasties history folk customs humanistic spirit song dynasty study course students comprehensive systematic understanding tang song poetry time improve poetry reading appreciation criticism abilities speaker professor wang bugao disciple tang guizhang master poetry assisted tang editing dictionary appreciation tang song poems good poetry writing written extensively field poetry course one popular courses among students tsinghua university southeast university
C_course-v1:TsinghuaX+00612643X+sp,rise fall tang dynasty autonomous mode,prerequisites,zizhi tongjian famous chronological history book compiled sima guang northern song dynasty since publication valued scholars ages irreplaceable historical material value also valued future generations fundamental motivation educating people excellent historical knowledge praised among books volumes words history sui tang five dynasties spans nearly years vicissitudes occupying volumes alone value replaceable historical materials become important content entire tongjian rise decline tang dynasty introduction zi zhi tong jian continues widely acclaimed zi zhi tong jian since launch introduction course lecturer professor zhang guogang devoted studying zi zhi tong jian decades carefully selecting words deeds classic characters historical scenes analyzed details details summarized cultural essence modern thinking vividly language elucidates historical wisdom particular emphasis practical significance self cultivation family management country governance course study students grasp basic historical development sui tang five dynasties also appreciate vivid realistic customs sui tang dynasties addition novels film television interpretations also go original records feel unique charm chinas great historical works understand learn traditional basic method culture absorb nutrition reality opens way lifelong learning chinese classics
C_course-v1:FudanX+SOSC120007+sp,monetary finance autonomous mode,macroeconomics microeconomics,teaching objectives study course students understand role operating mechanism financial markets financial institutions central banks modern economy macro perspective decipher secrets currency understand currency generated expanded impact understand openness relevant theories empirical evidence central banks implementation monetary policy relationship currency economy economic conditions course content course mainly consists four parts first part introduction mainly introduces money overview financial system second part financial markets focusing analyzing behavioral characteristics determination prices financial markets interest rates third part financial institutions focusing analyzing operations industry characteristics commercial banks important financial institution process money creation fourth part core course namely money supply money demand transmission monetary policy monetary policy strategies currency policies rules etc
C_course-v1:TsinghuaX+00612642X+sp,introduction zi zhi tong jian independent mode,prerequisites,zizhi tongjian famous chronicle style history book compiled sima guang northern song dynasty first work tongjian style category traditional history books book takes politics military main narrative line starting bc ending ad volumes million words systematically presents magnificent historical picture china years since publication book valued scholars ages irreplaceable value historical data also praised later generations fundamental motivation excellent historical knowledge educating people summarizing rise fall chaos past presenting story transcends time space great vitality however zizhi tongjian vast length complex content due characteristics historical documents difficult young students majoring literature history read understand gist general humanities course introduction zi zhi tong jian course aims eliminate professional barriers guide students directly experience charm great chinese historical work lecturer course professor zhang guogang devoted studying zi zhi tong jian decades carefully selecting words deeds classic characters historical scenes analyzing carefully summarizes essence culture modern thinking elucidates historical wisdom vivid language especially focusing among practical significance self cultivation family management country governance course introduction zi zhi tong jian students comprehensive grasp basic context development evolution chinese history warring states period five dynasties also understand basic principles draw realistic nutrition traditional culture method pave way lifelong learning chinese classics
C_course-v1:TsinghuaX+30700313X+sp,introduction psychology autonomous mode,prerequisites,today rapid development peoples material life particularly important pay attention psychology american universities psychology one popular subjects largest student population course divided chapters covering introduction consciousness feeling perception learning memory thinking emotion evolution motivation personality society happiness issues chapter empirical research psychology used example classical theoretical perspectives used guide positive psychological research used direction allowing students master basic content cutting edge trends psychology understand psychological thinking methods eliminate doubts misunderstandings psychology master basic psychological research methods
C_course-v1:TsinghuaX+30700313X+2019_T1,introduction psychology spring,prerequisites,today rapid development peoples material life particularly important pay attention psychology american universities psychology one popular subjects largest student population course divided chapters covering introduction consciousness feeling perception learning memory thinking emotion evolution motivation personality society happiness issues chapter empirical research psychology used example classical theoretical perspectives used guide positive psychological research used direction allowing students master basic content cutting edge trends psychology understand psychological thinking methods eliminate doubts misunderstandings psychology master basic psychological research methods
C_course-v1:SCUEC+0171229001+sp,hello psychology autonomous mode,prerequisites,selecting core knowledge points main content general psychology explained four aspects history methods research topics applications help students grasp history development psychology construct psychological knowledge context longitudinal perspective starting research methods let students feel scientific charm psychology connect knowledge points two aspects cognitive social development content applied psychology knowledge designed perspective understanding oneself individual condensation course content allow beginners psychology enter palace psychology experience excitement psychology
C_course-v1:TsinghuaX+30670043X+sp,principles communication autonomous mode,prerequisites,communication science science explores reveals nature laws human communication also knowledge system developed communication researchers systematic analysis organic integration human communication phenomena communication research results recent decades includes description communication activities analysis communication relationships agreement communication behavior discussion communication problems compared sociology psychology political science etc communication science emerging independent discipline certain applications located intersection many disciplines
C_course-v1:TsinghuaX+30670043X+2019_T1,principles communication spring,prerequisites,communication science science explores reveals nature laws human communication also knowledge system developed communication researchers systematic analysis organic integration human communication phenomena communication research results recent decades includes description communication activities analysis communication relationships agreement communication behavior discussion communication problems compared sociology psychology political science etc communication science emerging independent discipline certain applications located intersection many disciplines
C_course-v1:NJU+2018032001X+sp,psychology life autonomous mode,prerequisites,psychology mysterious find wherever people psychology psychology profound find everyone seems popular psychologist everyone say something psychology indeed psychology everywhere lives course tell psychology often talk wrong remaining small part also incomplete willing go see interesting psychological phenomena life see colorful life world use living language teach professional psychological knowledge work explore meaning colors discover secrets memory uncover veil personality outline outline emotions explain human behavior let us use unique eyes see completely different world life
C_course-v1:Tsinghua+20150001+sp,write good scientific research paper independent mode,prerequisites,worried publishing paper know start writing scientific research paper correctly organize article structure article title keywords conclusion literature journal editors value get attention article published promote article basic principles related academic publishing ethics minefields academic publishingthis course invites famous teachers tsinghua university publishers elsevier tell principles content structure techniques academic ethics paper writing invites outstanding students share valuable experience publishing papers help write publish academic papers effectively
C_course-v1:FUDANx+ECON1300812+sp,financial engineering independent mode,first taken basic finance courses investment financial markets initially mastered modern financial knowledge asset pricing asset portfolio theory relevant knowledge mathematical statistics mastering knowledge stochastic processes helpful study course experience computer programming basic knowledge,financial engineering mainly highly applied financial discipline emerged developed expansion investment banking capital markets study course students master basic principles derivative financial instruments forwards futures options swaps master basic principles pricing derivative financial instruments master basic principles using derivative financial instruments hedging master basic theories techniques financial engineering initially learn use engineering technology methods mathematical modeling numerical calculations network diagrams simulation simulations etc design develop implement new financial products implement financial risk management strategies etc creatively solve financial problems problems cultivate students financial engineering thinking lectures assignments case analyses etc
C_course-v1:TsinghuaX+70612463X+sp,social statistical analysis based r language autonomous mode,prerequisites,statistics lingua franca modern science indispensable tool modern research combination social science classical statistical principles formed methodological system uses statistical measurement systems study human behavior social environments system limited esoteric numbers tables formulas also logical way thinking provides researchers basic skills collecting analyzing understanding data also science evidence conclusion inference process statistical analysis divided two parts exploratory data analysis inferential statistical methods probability theory bridge connecting two course use powerful functions brought open source statistical software r language introduce necessary skills exploring data next explain core theories statistics sampling distribution estimation hypothesis testing finally discuss application advanced statistical methods multiple regression logistic regression multilevel models social sciences based research examples sociology psychology education disciplines even difficulty learning mathematics past mean disadvantage class believe training logical thinking important calculation ability end course better sense extract effective information complicated data statistical analysis peoples research longer restricted area read learn consumer statistical principles apply statistical thinking apply research
C_course-v1:TsinghuaX+30240184_2X+sp,data structure part autonomous mode,see belowfaq,data structures key component computer science necessary foundation building efficient algorithms knowledge involved always core curriculum system related majors course aims focus design implementation various data structures revealing regular principles methods techniques time aims enable students understand master main routines methods algorithm design performance analysis topics taught range basic data structures recent research results
C_course-v1:ACCA+MA1_X+sp,junior management accounting autonomous model,recommended students first take junior financial accounting course fa,junior management accounting designed interested accounting business zero threshold course designed epigeum branch imperial college london international accounting experts instructors duration chinese language course weeks joining studying acca x open channel enter accounting industry course introduction acca x global online courses provided operated world renowned online learning platform edx jointly built mit harvard university course content professionally designed developed epigeum branch imperial college london aims help aspiring future business leaders accountants entrepreneurs acquire necessary knowledge enter industry professional abilities possess handling financial accounting business activities real world acca x global awards including pq magazine awards association excellence awards international european association awards education investor awards learning technology awards featured financial times acca xs comprehensive chinese courses provided operated xuetang online high quality chinese mooc platform initiated tsinghua university course interactive learning activities carefully conceived cleverly designed course management team also invite domestic financial experts give exciting online offline sharing allowing directly understand accounting industry people accounting industry experience charm value accounting close students complete course also receive certificate jointly certified xuetang online acca course junior management accounting basic course management accounting learning management information students develop basic professional abilities handling management accounting business activities real environment course suitable school students also serves ideal introductory course practitioners understand corporate management accounting learning objectives course help students recognize understand transform data information organizations provide effective management support planning decision making course taught online mr barry walsh ms tara askham distinguished experts acca new ventures barry professionally qualified accountant extensive experience many different industries also accounting software consultant past years barry engaged publishing training professional qualifications textbooks well writing objective test questions professional accountant examination tara teaches bookkeeping courses central college nottingham extensive experience teaching setting writing teaching materials accounting profession studying course mainly master nature purpose cost management accounting record classify costs use spreadsheets
C_course-v1:TsinghuaX+AP000003X+2019_T1,probability theory mathematical statistics spring,one dollar calculus,development modern science technology need deep understanding uncertainty become widespread urgent probability theory statistics become indispensable tools scientific research engineering technology basic content methods course provide effective tools also reflect unique thinking model well reflects connection mathematical theory practical application course derives basic theories vivid application examples allowing students understand viewpoint understanding random phenomena mathematical perspective master basic mathematical methods analyzing studying probabilistic properties random phenomena master basic concepts methods cognitive statistical laws behind data cultivate students ability learn independently comprehensively apply mathematical principles skills learned analyze solve problems develop rational thinking abilities characterized abstract thinking logical reasoning strive stimulate students interest learning improve students scientific literacy lay good mathematical foundation students study subsequent courses university help students change learning concepts better adapt university study main contents course include classical concepts conditional probability calculation probability distribution discrete continuous random variables numerical characteristics expectation variance random variables common probability distributions random vectors joint distributions coherence random variables variance correlation coefficient law large numbers central limit theorem statistical population statistics parameter point estimation interval estimation hypothesis testing grading rules course follows regular grades coursework final exam coursework midterm test final exam multiple choice questions daily results mainly include degree enthusiasm homework submission degree activity discussion forum etc
C_course-v1:TsinghuaX+AP000014X+2019_T1,probability theory mathematical statistics prerequisite course spring,one dollar calculus,development modern science technology need deep understanding uncertainty become widespread urgent probability theory statistics become indispensable tools scientific research engineering technology basic content methods course provide effective tools also reflect unique thinking model well reflects connection mathematical theory practical application course aimed outstanding middle school students preliminary foundation calculus basic theories derived vivid application examples allowing students understand viewpoint understanding random phenomena mathematical perspective master basic mathematical methods analyzing studying probabilistic properties random phenomena master basic concepts methods cognitive statistical laws behind data cultivate students ability learn independently comprehensively apply mathematical principles skills learned analyze solve problems develop rational thinking abilities characterized abstract thinking logical reasoning strive stimulate students interest learning improve students scientific literacy lay good mathematical foundation students study subsequent courses university help students change learning concepts better adapt university study main contents course include classical concepts conditional probability calculation probability distribution discrete continuous random variables numerical characteristics expectation variance random variables common probability distributions random vectors joint distributions coherence random variables variance correlation coefficient law large numbers central limit theorem statistical population statistics parameter point estimation interval estimation hypothesis testing grading rules course follows regular grades coursework final exam coursework midterm test final exam multiple choice questions daily results mainly include degree enthusiasm homework submission degree activity discussion forum etc
C_course-v1:XJTU+COMP200853+sp,microcomputer principles interface technology autonomous mode,knowledge base college computer digital circuit basics,todays information age computers become indispensable part human work life one main application directions computers process control objects industrial process control often continuously changing non electrical physical quantities enable signals recognized processed computers complex process required course aimed learners interested designing computer process control systems interested computer hardware structures introduces theoretical knowledge design methods including basic computer knowledge basic working principles microcomputers memory interface design input output interface control technology etc finally achieve preliminary ability design software hardware simple io interface control system noted development computer technology reality suitable use single chip microcomputer technology industrial process control cases however considering computers see use every day microcomputers overall concept establishing microcomputer system universal significance understand composition working principle input output control methods etc microcomputers miniature version computers although microcontrollers different microcomputers many aspects architecture instruction set big differences many basic theories control methods similar content introduced course direct guiding significance development microcontroller technology embedded technology course organized week total weeks covering chapters including overview microcomputer systems microprocessors buses x basic instruction set assembly language programming semiconductor memory input output interrupt technology programmable parallel digital interface analog input output
